metric,metric_std
Faecal N excretions,Fecal N excretion
Fecal N excretion,Fecal N excretion
Manure N excretion,Total N excretion
N excretion,Total N excretion
CH4 emissions,Methane emission from manure
"CH4 emissions (CH4 emissions,kg ha-1 y-1)",Methane emission from soil
CH4 emissions in paddy rice,Methane emission from soil
P excretion,Total P excretion
Ratio of total N excretion to average daily gain (%),Ratio of total N excretion to average daily gain
Ratio of total P excretion to average daily gain,Ratio of total P excretion to average daily gain
Total N excretion,Total N excretion
CH4 uptake,Methane uptake from soil
"Average yield and yield increase (t ha-1). Yield increase is the yield difference between the treatment (T) plot and the unfertilised control (C) plot, which is farmers’ de facto practice.",main crop yield
N2O emission during land application,Nitrous oxide emission from manure
CH4 uptake (oxidation),Methane uptake from soil
CH4 uptake by soil,Methane uptake from soil
CH4 uptake in uplands,Methane uptake from soil
Total P excretion,Total P excretion
Urinary N excretion,Urinary N excretion
CH4_C,Methane emission from manure
N2O emission during storage,Nitrous oxide emission from manure
CH4-C loss,Methane emission from manure
CO2 emissions,Net ecosystem CO2 exchange
CO2eq emission,Aggregated GHGs emission from soil
CO2eq emissions,Aggregated GHGs emission from soil
N2O emission factor,nitrous oxide emission from soil
N2O emission factor (% of total N),nitrous oxide emission from soil
N2O emission factors,nitrous oxide emission from soil
Area-scaled N2O emission (kgN /ha),nitrous oxide emission from soil
Area-scaled N2O emissions,nitrous oxide emission from soil
Odour,Odour emission
GWP,Aggregated GHGs emission from soil
Cumulative N2O emission,nitrous oxide emission from soil
Cumulative N2O emissions,nitrous oxide emission from soil
Mean of cumulative N2O emissions,nitrous oxide emission from soil
N2O,Nitrous oxide emission from manure
N2O emission,nitrous oxide emission from soil
N2O emission,Nitrous oxide emission from manure
N2O emission (cumulative emission during a cropping cycle or the entire growing season of a year),nitrous oxide emission from soil
N2O emission (non-LCA approach) per unit of area,nitrous oxide emission from soil
N2O emission (non-LCA approach) per unit of product,nitrous oxide emission from soil (product based)
N2O emission from soil,nitrous oxide emission from soil
N2O emission in terms of cumulative N2O-N losses as a proportion of the TN of the initial composting material,Nitrous oxide emission from manure
N2O emission per unit of area,nitrous oxide emission from soil
N2O emission per unit of product,nitrous oxide emission from soil (product based)
N2O emissions,nitrous oxide emission from soil
Cumulative NO emission,Nitric oxide emission from soil
NO emission,Nitric oxide emission from soil
NO emissions,Nitric oxide emission from soil
N2O emissions,Nitrous oxide emission from manure
N2O emissions (Area-scaled ),Nitrous oxide emission from manure
N2O emissions (Area-scaled ),nitrous oxide emission from soil
"N2O emissions (N2O emissions,kg ha-1 y-1)",nitrous oxide emission from soil - annual rate
N2O emissions (Yield-scaled),nitrous oxide emission from soil (yield scaled)
N2O_N,Nitrous oxide emission from manure
N2O-N loss,Nitrous oxide emission from manure
Nitrogen-induced GHG emissions (N2O),nitrous oxide emission from soil
Percent change in yield-scaled N2O emissions,nitrous oxide emission from soil (yield scaled)
Percentage change in N2O emissions,Nitrous oxide emission from soil
Percentage reduction of N2O emission,Nitrous oxide emission from soil
Soil N2O emissions,Nitrous oxide emission from soil
Net ecosystem CO2 exchange,Net ecosystem CO2 exchange
"Net greenhouse gas budget (i.e., sum of carbon dioxide-equivalents CO2eq) from soil organic carbon sequestration rate, methane and nitrous oxide emissions in croplands)",Net ecosystem CO2 exchange
Yield-scaled N2O emission (kgN /ton crop harvested),nitrous oxide emission from soil (yield scaled)
Yield-scaled N2O emissions,nitrous oxide emission from soil (yield scaled)
"Soil organic carbon stock and annual sequestration rate,",Soil organic carbon sequestration rate
N2O emissions along the whole year,nitrous oxide emission from soil - whole year
SOC content and C sequestration rate.,?
CH4 emissions per ha,Global warming potential
N2O emissions per ha,Global warming potential
Priming effect: the increase in CO2 efflux derived from non‐biochar C pool compared to CO2 efflux in the control treatment (without PyOM amendment).,Native soil organic carbon stock
N2O emissions during cash crop season,nitrous oxide emission from soil - cash crop season
N2O emissions during cash crop season and whole year,nitrous oxide emission from soil - cash crop season and whole year
Total CO2-eq,Aggregated GHGs emission from manure
Yield-scaled GWP,Aggregated GHGs emission from soil (yield scaled)
N2O emissions during cover crop season,nitrous oxide emission from soil - cash crop season
N2O emissions during cover crop season,nitrous oxide emission from soil - cover crop season
N2O EF,Nitrous oxide emission from soil
N2O EF av.,Nitrous oxide emission from soil
N2O EF tot,Nitrous oxide emission from soil
"global warming potential (GWP)12. The CO2-equivalent emissions were the total of all estimated emissions related to crop production. These included the energy used in fuel (land preparation and crop establishment, pumping for irrigation, harvesting of crop and postharvesting processes), fertilizers and agrochemicals uses, and multiplying each category by its carbon equivalent conversion factor (g CO2-e MJ-1), and summing up.",Global warming potential
Global warming potential (GWP),Global warming potential
Global warming potential (GWP) and greenhouse gas intensity (GHGI),Global warming potential
GHG emissions,Global warming potential
Global warming potential (LCA approach),Global warming potential
"Overall global warming potential (as carbon dioxide equivalents) of CH4, CO2 and N2O emissions.",Global warming potential
Yield-scaled GHG emissions,Global warming potential
Aggregated GHG emissions per ha,Global warming potential
Aggregated GHG emissions per kg product,Global warming potential
leaf area (LA),Leaf area
GHG emissions (LCA approach) per unit of product,Global warming potential
"Global warming potential product based,  'cradle-to-farm gate' LCA",Global warming potential
"Greenhouse gas emissions (overall) per unit of product (large majority) and per unit of area (few). EAM (Energy Analysis Method): The amounts of input and output are converted into input and output energy levels using “energy coefficient” to calculate EE. In this analysis, the Energy Analysis Method (EAM), Life Cycle Assessment (LCA), Emergy, and other methods, including Life Cycle Climate Impact (LCCI), are compared.",Global warming potential
GHG emissions per yield unit,Global warming potential
herbaceous aboveground biomass yields,aboveground biomass (herbaceous)
pasture hay,aboveground biomass (herbaceous)
Plant yield,aboveground biomass (herbaceous)
aboveground biomass,aboveground biomass (herbaceous)
Aboveground biomass (AGB),aboveground biomass (herbaceous)
AGB forbs,aboveground biomass (herbaceous)
AGB grass,aboveground biomass (herbaceous)
Biomass,aboveground biomass (herbaceous)
Biomass (all vascular),aboveground biomass (herbaceous)
Biomass (forbs),aboveground biomass (herbaceous)
Biomass (grasses),aboveground biomass (herbaceous)
Biomass (legumes),aboveground biomass (herbaceous)
Biomass (sedges),aboveground biomass (herbaceous)
Plant biomass,aboveground biomass (herbaceous)
Yield (%),aboveground biomass (herbaceous)
Above- and belowground biomass,aboveground biomass (herbaceous)
Total biomass,aboveground biomass (herbaceous)
Aboveground net primary production,aboveground biomass
Above-ground net primary productiton,aboveground biomass
Total vegetative cover,aboveground biomass
Bare ground,ground cover
"Bryophytes cover/abundance, biomass or productivity",aboveground biomass (herbaceous)
Canopy height,herbaceous canopy height
"Graminoids cover/abundance, biomass or productivity",aboveground biomass (herbaceous)
"Herbs/forbs cover/abundance, biomass or productivity",aboveground biomass (herbaceous)
"Lichens cover/abundance, biomass or productivity",lichens biomass
Plant cover,ground cover
"Woody plants cover/abundance, biomass or productivity",aboveground biomass (woody)
Ground cover,ground cover
Pasture production and quality,aboveground biomass (herbaceous)
Forage dry matter harvest,forage yield
Grassland yield,aboveground biomass (herbaceous)
Net primary productivity,aboveground biomass
Plant accumulation of As,Arsenic in plant tissues
As  concentrations in plant tissues,Arsenic in plant tissues
Cd concentration in grains,Cadmium in grain
Plant accumulation of Cd,Cadmium in plant tissues
Cd  concentrations in plant tissues,Cadmium in plant tissues
Cd plant uptake,Cadmium in plant tissues
Cd uptake by Rice,Cadmium in plant tissues
Cr concentrations in plant tissues,Chromium in plant tissues
Co concentrations in plant tissues,Cobalt in plant tissues
Cu plant uptake,Copper in plant tissues
Cu concentrations in plant tissues,Copper in plant tissues
Pb concentration in grains,Lead in grain
Pb  concentrations in plant tissues,Lead in plant tissues
Pb plant uptake,Lead in plant tissues
Mn concentrations in plant tissues,Manganese in plant tissues
Ni  concentrations in plant tissues,Nichel in plant tissues
Soil concentrations of Arsenic,Soil arsenic
Bioavailability of As,Soil arsenic bioavailability
Soil concentrations of Cadmium,Soil cadmium
Extractable soil Cd,Soil cadmium bioavailability
Bioavailable Cd concentration in soil,Soil cadmium bioavailability
Bioavailability of Cd,Soil cadmium bioavailability
Cd bioavailability in soil,Soil cadmium bioavailability
Exchangable Cd concentrations in soil,Soil cadmium bioavailability
Soil available Cd,soil cadmium bioavailability
Soil concentrations of Chromium,Soil chromium
Cu bioavailability in soil,Soil copper bioavailability
Shoot and root Cd and Pb concentration,Cadmium and lead in plant tissues
Soil lead (Pb),Soil lead
Soil concentrations of Lead,Soil lead
Extractable soil Pb,Soil lead bioavailability
Bioavailable Pb concentration in soil,Soil lead bioavailability
Pb bioavailability in soil,Soil lead bioavailability
Soil concentrations of Mercury,Soil mercury
Soil concentrations of Nickel,Soil nickel
Zn bioavailability in soil,Soil zinc bioavailability
Zn plant uptake,Zinc in plant tissues
Zn concentrations in plant tissues,Zinc in plant tissues
Agricultural land use efficiency per unit of product,Agricultural land use (product based)
Agricultural land use per unit of product,Agricultural land use (product based)
Nitrogen footprint per unit of net economic return,Nitrogen footprint
Reactive nitrogen loss (kg N-eq ha-1 yr-1),Reactive nitrogen loss
Body weight,Body weight
Final body weight,Body weight
Final live weight,Body weight
Weight gain,Body weight
Live weight,Body weight
Weight loss of piglets at weaning,Body weight
Carcass weight,Carcass weight
Cold carcase weight,Carcass weight
Hot carcase weight,Carcass weight
Feed conversion,Feed conversion efficiency
Feed conversion ratio,Feed conversion efficiency
Feed intake,Feed intake
Feed intake of lactating sows,Feed intake
Duration of egg production,Duration of egg production
Egg production,Egg production
Fertility,Fertility
Ammonium loss reduction,Ammonium loss
Ammonium nitrogen (NH4+-N) loss,Ammonium loss
Amonium (NH4+),Ammonium loss
NH4-N leaching,Ammonium loss
Concentration of dissolved P in agricultural runoff and leaching,Concentration of dissolved-phosphorous in runoff and leaching
Concentration of particulate P in agricultural runoff and leaching,Concentration of particulate-phosphorous in runoff and leaching
Concentration of total P in agricultural runoff and leaching,Concentration of total-phosphorous in runoff and leaching
Dissolved inorganic N,Inorganic nitrogen leaching
Dissolved phosphorus (DP) loss.,Dissolved-phosphorous loss
Dissolved phosphorus loss reduction,Dissolved-phosphorous loss
Load of dissolved P in agricultural runoff and leaching,Dissolved-phosphorous loss
Soil dissolved phosphorus loss,Dissolved-phosphorous loss
Disolved P retention,Dissolved-phosphorous retention
N leaching,Nitrogen leaching
Mass of nitrate nitrogen lost,Nitrate leaching
Nitrate (NO3-),Nitrate leaching
Nitrate leaching,Nitrate leaching
Nitrate leaching per unit of area,Nitrate leaching
Nitrate loss reduction,Nitrate leaching
Nitrate nitrogen (NO3–-N) loss,Nitrate leaching
Nitrate-N groundwater,Nitrate leaching
NO3 leaching,Nitrate leaching
NO3- leaching,Nitrate leaching
NO3− leaching,Nitrate leaching
NO3- leaching (cumulative losses during a cropping cycle or the entire growing season of a year),Nitrate leaching
NO3-N leaching,Nitrate leaching
Soil nitrate leaching,Nitrate leaching
"Soil nitrate leaching (e.g., nitrate content in the leachate, in lysimeters)",Nitrate leaching
Soil nitrate nitrogen loss,Nitrate leaching
Total nitrate leaching,Nitrate leaching
Nitrate leaching per unit of product,Nitrate leaching (product based)
Nitrate leaching-scaled yield (NLSY),Nitrate leaching (yield scaled)
Nitrate-N surface run-off,Nitrate run-off
Runoff nitrate,Nitrate run-off
Nitrate and ammmonium leaching,Inorganic nitrogen leaching
Nitrate and ammmonium leaching,Nitrogen leaching
Nitrogen leaching,Nitrogen leaching
Nitrogen leaching loss,Nitrogen leaching
Nitrogen leaching or Soil inorganic N content,Nitrogen leaching parameters
Soil N status,Nitrogen leaching
Soil total nitrogen loss,Nitrogen leaching
Subsurface N interception,Nitrogen leaching interception
Total nitrogen (TN) loss,Nitrogen loss
Total nitrogen loss reduction,Nitrogen loss
DIN leaching,Inorganic nitrogen leaching
N leaching and runoff,Nitrogen leaching and run-off
N run off,Nitrogen run-off
N run-off,Nitrogen run-off
Nitrogen run-off,Nitrogen run-off
Nitrogen runoff loss,Nitrogen run-off
Surface N interception,Nitrogen run-off
Total-N surface run-off,Nitrogen run-off
"Nutrient (N,P,K, ...) leaching",Nutrients leaching
"Nutrient (N,P,K, ...) runoff",Nutrients run-off
Load of particulate P in agricultural runoff and leaching,Particulate-phosphorous loss
Runoff phosphorus,Phosphorous run-off
Load of total P in agricultural runoff and leaching,Total phosphorous loss
P interception,Total phosphorous loss
P losses,Total phosphorous loss
P losses per unit of area,Total phosphorous loss
Soil total phosphorus loss,Total phosphorous loss
Total P retention,Total phosphorous loss
Total phosphorus (TP) loss,Total phosphorous loss
Total phosphorus loss reduction,Total phosphorous loss
N/I ratio,Nitrification to immobilization ratio
Total nitrogen loss,manure-nitrogen loss
Total-N losses,manure-nitrogen loss
Phosphorous recovery,manure-phosphorous recovery
"TN losses, in terms of cumulative TN losses as a proportion of the TN of the initial composting material",manure-nitrogen loss
Number of herbicide applications,Number of herbicide applications
Pesticide use,Pesticide use
Number of pesticide applications,Number of pesticide applications
Nitrogen utilisation efficiency,Nitrogen use efficiency
"Flower visitations, Seeds per plant",Pollinator visit rate
Arbuscular mycorrhizal fungi (AMF) colonization of subsequent cash crop roots,Arbuscolar mycorrhizal fungi => Arbuscolar mycorrhizal fungi colonization
Abundance and richness of crop pest natural enemies,Natural enemies abundance and richness
Abundance of non-native plant species,non-native plant species abundance
1) Soil fauna (SoilFauna); 2) fungal indicators (Fungal); 3) other microbial indicators (O-Microbial); 4) enzymatic assays (Enzyme); 5) microbial biomass carbon (MBC),Microbial biomass
Aphid density,aphid density
Arthropodes pests abundance,arthropode abundance
Biocontrol,natural enemies parameters
1) total phospholipid-derived fatty acid (PLFA); 2) microbial biomass C (MBC); 3) microbial biomass N and (MBN); 4) total bacteria; 5) total fungi; 6) fungi/bacteria ratio,Microbial biomass
Biodiversity (non-native vascular plants),non-native plant species abundance
"Biological control potential (predation rate, parasitism rate and soil-suppressiveness, that is, soil ability to suppress pathogens following their inoculation)",natural enemies parameters
Soil microbial biomass,Microbial biomass
Cob/ear/stalk/stemborer larvae abundance,Cob/ear/stalk/stemborer larvae abundance
Cob/ear/stalk/stemborer parasitism,Cob/ear/stalk/stemborer parasitism
Crop damage,crop damage
Density of Spartina species,spartina species density
Disease incidence,Disease incidence
"Disease incidence (in probability scale). The dataset covered both fungal and fungal-like pathogens from the classes of the Dothideomycetes (Alternaria alternata, A. solani, Stemphylium vesicarium, Cercospora asparagii, Schizothyrium jamaicense, Peltaster fructicola), Sordariomycetes (Fusarium graminearum, Colletotrichum coccodes), Leotiomycetes (Botrytis cinerea), Agaricomycetes (Rhizoctonia solani) and Oomycetes (Bremia lactucae, Plasmopara viticola). The Dothideomycetes was the most represented fungal class with n = 38 experiments and the Agaricomycetes was the least represented, with n = 3. These pathogens were causing the following diseases: Alternaria brown spot of mandarin, an early blight of tomato, brown spot of pear, Cercospora blight of asparagus, flyspeck and a sooty blotch of apple, Fusarium head blight of wheat, anthracnose of tomato, a grey mould of strawberry, Rhizoctonia fruit rot of tomato, downy mildew of lettuce and downy mildew of grape",Disease incidence
Diseases,Disease incidence
Exotic species abundance (%),non-native species abundance
Foliar pest abundance,pests abundance (foliar)
Foliar predator abudance,pests abundance (foliar)
Food crop damage,crop damage
Herbivore abundance,herbivore abundance
Herbivore damage,herbivore damage
Herbivore pests abundance,herbivore abundance
"Natural enemies (abundance, diversity, predation/parasitism)",natural enemies parameters
natural enemies abundance,Natural enemies abundance
Natural enemies aundance or activity density,natural enemies parameters
"Natural enemies of pests: Abundance, fecundity, development rate, size and damage.",natural enemies parameters
Natural enemies taxon richness,natural enemies taxon richness
Natural enemy abundance,Natural enemies abundance
Natural enemyAbundance,Natural enemies abundance
"Natural enemy-related parameters (Abundance of potential natural enemies, Percentage of parasitism and predation)",natural enemies parameters
Natural enemyRichness,Natural enemies richness
Natural pest control service,Natural enemies abundance and richness
"Parasitism (bacteria, fungi or viruses)","Parasitism (bacteria, fungi or viruses)"
Pest abundance,pests abundance
Pest and disease abundance,pests abundance
% of sediment removal,% of sediment removal => Sediments retention
Pest Arthropod herbivore abundance,arthropode herbivore abundance
"Pest infestation (disease severity or incidence, pest abundance or pest density, weed soil cover, weed biomass or weed density)",Pests abundance
"Pest infestation (disease severity or incidence, pest abundance or pest density, weed soil cover, weed biomass or weed density)",pests parameters
"Pest-related parameters (Pest abundance, Damage per vine and plot)",pests parameters
Pests,pests parameters
"Pests (abundance, diversity, population growth, plant damage)",pests parameters
pests abundance,pests abundance
"Pests: Abundance, fecundity, development rate, size and damage.",pests parameters
Phragmites australis biomass,Phragmites australis biomass
Phragmites australis stem density,Phragmites australis stem density
Phragmites australis stem diameter,Phragmites australis stem diameter
Phragmites australis stem height,Phragmites australis stem height
Plant damage,crop damage
plant damages,crop damage
Root-knot nematodes numbers and damage,pestsparameters (root knot nematodes)
Soil predator abundance,pests abundance (soil-associated)
Soil-associated pest abundance,pests abundance (soil-associated)
Striga hermonthica emergence,weed emergence (striga hermonthica)
Total pest abundance,pests abundance
Weed abundance,weed abundance
1) Runoff reduction; 2) Soil loss reduction,1) Runoff reduction; 2) Soil loss reduction
1) Runoff; 2) Soil loss,1) Runoff; 2) Soil loss
Weed biomass,weed abundance
1) Run-off; 2) Soil loss,1) Run-off; 2) Soil loss
1) Soil total nitrogen; 2) Soil total phosphorous; 3) Soil total potassium;,1) Soil total N; 2) Soil total P; 3) Soil total K;
weed biomass (WBIO),weed abundance
Weed density,weed density
weed density (WDEN),weed density
Weed density or biomass,weed abundance
Potentially mineralizable nitrogen (PMN),Potentially mineralizable N
Weed diversity,weed diversity
Weed incidence,weed abundance
Soil nitrogen,Soil total N
Weed suppression,weed suppression
Weeds,weed abundance
weeds abundance,weed abundance
Wheat stripe rust intensity,disease incidence (wheat stripe rust intensity)
Soil nitrogen content,Soil total N
Soil total nitrogen stock,Soil total N
1) Soil penetration resistance; 2) Soil structural stability;,1) penetration resistance; 2) structural stability;
Cation exchange capacity,Cation exchange capacity
soil porosity,porosity
Soil water infiltration,water infiltration
Grain NUE (calculated by dividing the difference in the grain N uptake between the treatments with and without fertilization by fertilizer N rate),Grain nitrogen use efficiency
Crop nitrogen uptake,Crop nitrogen uptake
Soil water infiltration rate,water infiltration rate
Agronomic efficiency of nitrogen (AEN),Nitrogen use efficiency
Crop total nitrogen,Crop nitrogen content
Fertilizer N equivalent ratio (FNER),Nitrogen fertiliser equivalent ratio
1) Soil available water (30 - 90 cm depth); 2) Soil available water (100-250 cm depth);,1) available water (30 - 90 cm depth); 2) available water (100-250 cm depth);
"Crop recovery applied fertilizer N (i.e. % of N applied which is recovered by plant uptake, in shoot + root)",Nitrogen use efficiency
Land Equivalent Ratio for P uptake (LERP),nitrogen equivalent ratio => Land equivalent ratio for P uptake
"N concentration in plant tissue, plant N uptake, N recovery",crop nitrogen content => Crop nitrogen uptake
N content,crop nitrogen content => Crop nitrogen uptake
soil moisture content,water content
N fertilizer equivalent ratio (NFER) and P fertilizer equivalent ratio (PFER),nitrogen equivalent ratio => nutrient equivalent ratio?  why 2 metrics?
"Soil water budget parameters (Water stress integral, water loss, volumetric soil water content)","water budget parameters (Water stress integral, water loss, volumetric water content)"
"Nitrogen response efficiency (NRE, ANPP response per unit N addition)",Nitrogen use efficiency
Net effect on P uptake (NEP),=> Crop phosphorus uptake
Nitrogen  uptake,Crop nitrogen uptake
Nitrogen content in the aboveground biomass,crop nitrogen content => Crop nitrogen uptake
Nitrogen fertilizer equivalent ratio,Nitrogen fertiliser equivalent ratio
Nitrogen fertilizer equivalent ratio (FNER),Nitrogen fertiliser equivalent ratio
Nitrogen fertilizer equivalent ratio (NFER) and phosphorus fertilizer equivalent ratio (PFER),Nitrogen fertiliser equivalent ratio
Nitrogen partial factor productivity,Partial factor productivity of nitrogen
Soil water content,water content
Nitrogen partial factor productivity (NPFP),Partial factor productivity of nitrogen
Soil water storage at succeeding crop planting 1) for the whole profile (SWSPT); 2) to a depth of 30 cm (SWSP30); 3) Precipitation soil-storage efficiency during the fallow period;,water storage at succeeding crop planting 1) for the whole profile (SWSPT); 2) to a depth of 30 cm (SWSP30); 3) Precipitation soil-storage efficiency during the fallow period;
Water drainage,Water drainage
Nitrogen use efficiency,Nitrogen use efficiency
Nitrogen uptake,Crop nitrogen uptake
"Water retained at field capacity, Soil porosity","Water retained at field capacity, porosity"
Water-use efficiency by succeding cash crop,water use efficiency
Nitrogen use efficiency (NUE),Nitrogen use efficiency
NUE (in kg of dry matter (DM) per kg of N applied),Nitrogen use efficiency
NUE (proportion of applied N fertilizer assimilated in the above-ground or harvested parts),Nitrogen use efficiency
1) Bacterial count; 2) Fungi count; 3) Actinomycete count; 4) Total phospholipid fatty acids (PLFA) concentration (indicator of microbial biomass); 5) Phospholipid fatty acids (PLFA) concentration (indicator of microbial biomass) of bacteria; 6) Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of fungi; 7) Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of actinomycetes; 8) Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of gram+ bacteria; 9) Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of ratio fungi/bacteria; 10) Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of ratio of gram+ to gram- bacteria; 11) Shanon index for fungi,Microbial biomass
Nutrient use efficiency,Nitrogen use efficiency
Nutrient content in above-ground biomass,crop nitrogen content => Crop nitrogen uptake
1) Soil bacteria Shannon index; 2) Soil bacteria Chaol index; 3) Microbial biomass carbon,Microbial biomass
Recovery efficiency of nitrogen (REN),Nitrogen use efficiency
"P use efficiency (Land equivalent ratio for P uptake, LERP; Net effect  for P uptake, NEP)",phosphorous equivalent ratio => phosphorus use efficiency ?
Partial factor productivity of applied nitrogen (i.e. the grain yield production per kilogram of nitrogen input in production),Partial factor productivity of nitrogen
1) Soil microbial biomass C; 2) Soil microbial biomass N; 3) Soil urease activity,Microbial biomass
Partial factor productivity of nitrogen (PFPN),Partial factor productivity of nitrogen
Phosphorous fertilizer equivalent ratio,Phosphorous fertiliser equivalent ratio
Phosphorous uptake,Crop phosphorous uptake
"Phosphorus use efficiency (Land equivalent ratio for P uptake, LERP; Net effect for P uptake, NEP)",phosphorous equivalent ratio
Plant N uptake,Plant nitrogen uptake
Microbial biomass carbon,Microbial biomass carbon => Microbial abundance (biomass carbon)
Plant nitrogen uptake,Plant nitrogen uptake
Plant P concentration,Crop phosphorous content
N recovery,nitrogen utilisation efficiency = Crop nitrogen uptake
Silicon uptake,Crop silicon uptake
"Soil-derived N acquisition for intecrop legumes, cereals and legumes + cereals compared to monoculture",Soil nitrogen uptake => Crop nitrogen uptake
Soil-derived N acquisition in aboveground plant parts (kg ha-1),Soil nitrogen uptake => Crop nitrogen uptake
Soil microbial biomass carbon (MBC),Microbial biomass carbon => Microbial abundance (biomass carbon)
Total aboveground N uptake,Crop nitrogen uptake
Total N uptake,Crop nitrogen uptake
Soil microbial biomass nitrogen,Microbial biomass nitrogen => Microbial abundance (biomass nitrogen)
Plastic film residues,Plastic film residues
Bees abundance OR richness,Bees abundance OR richness
Beetles abundance OR richness,Beetles abundance OR richness
Crop pollination service,Crop pollination service
Pollinator visit rate,Pollinator visit rate
pollinators abundance,Pollinators abundance
Pollinator abundance,Pollinators abundance
PollinatorAbundance,Pollinators abundance
Abundance of pollinators at the edge,Pollinators abundance (at the edge)
Pollinator abundance in field edges adjacent to crops,Pollinators abundance (at the edge)
Abundance of pollinators within the crop,Pollinators abundance (within the crop)
Pollinator abundance in crop fields,Pollinators abundance (within the crop)
1) Sediment generation; 2) Water runoff,1) Sediment generation; 2) Water runoff
Abundance and richness of pollinators,Pollinators abundance and richness
1) Soil erosion; 2) Surface run-off,1) Soil erosion; 2) Surface run-off
1) Soil total N; 2) Soil total P; 3) Soil total K,1) Soil total N; 2) Soil total P; 3) Soil total K
1) Soil total nitrogen 0-15 cm; 2) Soil total nitrogen 0-30 cm; 3) Soil total nitrogen 0-60 cm,1) Soil total N 0-15 cm; 2) Soil total N 0-30 cm; 3) Soil total N 0-60 cm
Pollinator richness,Pollinators richness
Pollinators species richness,Pollinators richness
Pollinator richness in crop fields,Pollinators richness => pollinators richness (within the crop)
PollinatorRichness,Pollinators richness
1) Soil total nitrogen 0-15 cm; 2) Soil total nitrogen 15-40 cm; 3) Soil total phosphorus 0-15 cm; 4) Soil total phosphorus 15-40 cm; 5) Soil total potassium 0-15 cm; 6) Soil total potassium 15-40 cm,1) Soil total N 0-15 cm; 2) Soil total N 15-40 cm; 3) Soil total P 0-15 cm; 4) Soil total P 15-40 cm; 5) Soil total K 0-15 cm; 6) Soil total K 15-40 cm
Richness of pollinators at the edge,Pollinators richness (at the edge)
Pollinator richness in field edges adjacent to crops,Pollinators richness (at the edge)
1) Total nitrogen; 2) Total phosphorus; 3) Total potassium,1) Total N; 2) Total P; 3) Total K
Pollinator richness in field edges adjacent to crops,pollinators richness (within the crop) => Pollinators richness (at the edge)
Richness of pollinators within the crop,Pollinators richness (within the crop)
Pollinator richness in crop fields,Pollinators richness (within the crop)
Unmanaged bee abundance,Unmanaged bee abundance
Unmanaged bee richness,Unmanaged bee richness
soil total nitrogen,soil total N
Total nitrogen,Soil total N
Resource depletion,Resource depletion (LCA approach)
1) Bulk density; 2) Penetration resistance; 3) Geometric mean diameter of soil aggregates; 4) Mean weight diameter of soil aggregates; 5) Water-stable aggregate; 6) Total porosity; 7) Capillary porosity.,1) Bulk density; 2) Penetration resistance; 3) Geometric mean diameter of aggregates; 4) Mean weight diameter of aggregates; 5) Water-stable aggregate; 6) Total porosity; 7) Capillary porosity.
Actinomycete count,Actinomycetes abundance
Actinomycetes biomass,Actinomycetes abundance
Soil Actinomycetes biomass,Actinomycetes abundance
Soil actinomycetes,Actinomycetes abundance
1) Bulk density; 2) Soil aggregation; 3) Soil porosity,1) Bulk density; 2) aggregation; 3) porosity
Arbuscular mycorrhizal colonization,Arbuscolar mycorrhizal fungi => Arbuscolar mycorrhizal fungi colonization
1) Soil Cation exchange capacity (CEC); 2) Soil porosity; 3) Soil bulk density,1) Cation exchange capacity (CEC); 2) porosity; 3) bulk density
1) Topsoil bulk density change (%); 2) Subsoil bulk density change (%); 3) Soil penetration resistance,1) Topbulk density change (%); 2) Subbulk density change (%); 3) penetration resistance
Arbuscular mycorrhizal fungi (AMF) abundance/colonization,Arbuscolar mycorrhizal fungi abundance
Arbuscolar mycorrhizal fungi biomass,Arbuscolar mycorrhizal fungi abundance
Arbuscular mycorrhizas fungal abundance,Arbuscolar mycorrhizal fungi abundance
Soil arbuscular mycorrhiza fungi biomass,Arbuscolar mycorrhizal fungi abundance
Arbuscular mycorrhizal colonization,Arbuscolar mycorrhizal fungi colonization
AMF community composition,Arbuscolar mycorrhizal fungi community composition
AMF Shannon index,Arbuscolar mycorrhizal fungi diversity
AMF colonization of subsequent cash crop roots,Arbuscolar mycorrhizal fungi root colonization => Arbuscolar mycorrhizal fungi colonization
Root colonization by mycorrhizal fungi,Arbuscolar mycorrhizal fungi root colonization => Arbuscolar mycorrhizal fungi colonization
