metric,metric_std
AMF colonization of subsequent cash crop root,Arbuscolar mycorrhizal fungi root colonization => Arbuscolar mycorrhizal fungi colonization
AMF species richness,Arbuscolar mycorrhizal fungi species richness
Total bacteria,Bacteria abundance
Bacterial count,Bacteria abundance
Phospholipid fatty acids (PLFA) concentration (indicator of microbial biomass) of bacteria,Bacteria abundance
Bacterial biomass,Bacteria abundance
Soil bacterial biomass,Bacteria abundance
Bacteria biomass,Bacteria abundance
Bacteria community size,Bacteria abundance => Bacteria community size - @Ana?
Soil bacteria biomass,Bacteria abundance
Phospholipid fatty acids (PLFA) concentration (indicator of microbial biomass) of bacteria,bacteria abundance
Soil bacteria,Bacteria abundance
Soil bacteria Chaol index,Bacteria Chaol index
Soil bacteria Shannon index,Bacteria diversity
Soil bacterial diversity,Bacteria diversity
Bacteria richness,Bacteria species richness
bacterial-feeding nematodes,Bacterial feeder nematodes abundance
Abundance of bacterial feeders,Bacterial feeders abundance
Cephalobidae,Cephalobidae abundance
Dehydrogenase,Dehydrogenase activity
Total earthworms abundance,Earthworms abundance
Total earthworms biomass,Earthworms abundance
Earthworm abundance,Earthworms abundance
Earthworm biomass,Earthworms abundance
Total density of nematodes,Earthworms density
Enrichment index,Enrichment index
Soil enzymatic activity,Soil enzymatic activity
Extracellular enzyme activity (EEA),Soil enzymatic activity
extracellular enzyme activity for carbon  acquisition,Soil enzymatic activity
extracellular enzyme activity for nitrogen acquisition,Soil enzymatic activity
extracellular enzyme activity for potassium acquisition,Soil enzymatic activity
Soil fauna,Soil fauna abundance
Fluorescein diacetate hydrolysis (FDA),Fluorescein diacetate hydrolysis
Abundance of fungal feeders,Fungal feeders abundance
fungal-feeding nematode,Fungal feeding nematodes abundance
Fungal indicators,Fungal indicators
Total fungi,Fungi abundance
Fungi count,Fungi abundance
Fungal biomass,Fungi abundance
Soil fungal biomass,Fungi abundance
Fungi biomass,Fungi abundance
Fungi community size,Fungi abundance => Fungi community size - @Ana?
Soil fungi biomass,Fungi abundance
Soil fungi,Fungi abundance
Shanon index for fungi,Fungi diversity
Soil fungal diversity,Fungi diversity
Fungi richness,Fungi diversity
Shanon index for fungi,Fungi shannon index
Fungi richness,Fungi species richness
Soil glycosidase activity,Soil glycosidase activity
Gram negative biomass,Soil gram- bacteria abundance
Soil Gram- biomass,Soil gram- bacteria abundance
Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of gram+ bacteria,Soil gram+ Bacteria abundance
Gram positive biomass,Soil gram+ Bacteria abundance
Soil Gram+ biomass,Soil gram+ Bacteria abundance
Invertase,Invertase activity
Maturity index,Maturity index
Soil metabolic quotient (qCO2),Soil metabolic quotient
soil microbial abundance,Microbial abundance
Soil microbial biomass,Microbial abundance
colony forming unit (CFU),Microbial abundance
Bacterial count,Microbial abundance
Soil total microbial biomass and microbial diversity,Microbial abundance
"Soil total microbial biomass (Bacterial and fungal phospholipid fatty acids, PLFAs) and Fungi/bacteria ratio (F/B).",Microbial abundance
Microbial biomass C (MBC),Microbes abundance => Microbial abundance (biomass carbon)
Microbial biomass carbon,Microbes abundance => Microbial abundance (biomass carbon)
Soil microbial biomass C,Microbes abundance => Microbial abundance (biomass carbon)
"Microbial biomass C (MBC), and microbial biomass N (MBN)",Microbes abundance => Microbial abundance (biomass carbon)
Soil microbial biomass-C (MB-C),Microbes abundance => Microbial abundance (biomass carbon)
Microbial biomass N and (MBN),Microbes abundance => Microbial abundance (biomass nitrogen)
Soil microbial biomass N,Microbes abundance => Microbial abundance (biomass nitrogen)
Microbial biomass nitrogen,Microbes abundance => Microbial abundance (biomass nitrogen)
Total phospholipid-derived fatty acid (PLFA),Microbes abundance => Microbial abundance (total phospholipid-derived fatty acid)
Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of actinomycetes,Microbes abundance => Microbial abundance (total phospholipid-derived fatty acid)
Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of fungi,Microbes abundance => Microbial abundance (total phospholipid-derived fatty acid)
Total phospholipid fatty acids (PLFA) concentration (indicator of microbial biomass),Microbes abundance => Microbial abundance (total phospholipid-derived fatty acid)
Microbial biomass (PLFA),Microbes abundance => Microbial abundance (total phospholipid-derived fatty acid)
Phospholipid fatty acid (PLFA) biomass,Microbes abundance => Microbial abundance (total phospholipid-derived fatty acid)
soil microbial abundance (PLFA),Microbes abundance => Microbial abundance (total phospholipid-derived fatty acid)
Microbe community size,Microbes abundance => Microbes community size - @Ana?
Soil microbial activity,Soil microbial activity
Soil microbial activity (BG),Soil microbial activity
soil microbial alpha-diversity,Microbial alpha-diversity
soil microbial betha diversity,Microbial alpha-diversity
soil microbial betha diversity,Microbial betha-diversity
1) Soil saturated hydraulic; 2) Available water capacity.,1) saturated hydraulic; 2) Available water capacity.
"Total aboveground N uptake, grain NUE",Grain nitrogen use efficiency
"Microbial biomass C (MBC), and microbial biomass N (MBN)",Microbial biomass
Soil fertilizer-derived N content,fertilizer-derived N
Total soil P content,Soil total P
1) Microbial biomass (PLFA); 2) microbial biomass carbon; 3) microbial biomass nitrogen,Microbial biomass
1) Microbial biomass carbon; 2) fungal biomass; 3) bacterial biomass,Microbial biomass
1) Microbial biomass carbon; 2) microbial biomass nitrogen,Microbial biomass
1) Soil microbial biomass; 2) soil bacterial biomass; 3) soil fungal biomass,Microbial biomass
Soil microbial biomass carbon,Microbial biomass carbon => Microbial abundance (biomass carbon)
1) Soil loss; 2) Erosion-related parameters;,1) Soil loss; 2) erosion parameters;
1) Soil N; 2) soil P,1) Soil N; 2) soil P
Microbial carbon concentration,Microbial carbon => Microbial abundance (biomass carbon)
Permanganate oxidizable C (POXC),Microbial carbon => Microbial abundance (biomass carbon)
Soil microbial biomass carbon (MBC),Microbial carbon => Microbial abundance (biomass carbon)
Microbial biomass carbon,Microbial carbon => Microbial abundance (biomass carbon)
Soil microbial biomass carbon,Microbial carbon => Microbial abundance (biomass carbon)
Microbial carbon biomass,Microbial carbon => Microbial abundance (biomass carbon)
Microbial C,Microbial carbon => Microbial abundance (biomass carbon)
Microbial biomass carbon (0-10 cm depht),Microbial carbon => Microbial abundance (biomass carbon)
Soil microbial carbon,Microbial carbon => Microbial abundance (biomass carbon)
microbial biomass carbon (MBC),Microbial carbon => Microbial abundance (biomass carbon)
"Soil microbial quotient (MB-C/TSOC, total soil organic carbon)",Microbial carbon => Microbial abundance (biomass carbon)
Soil microbial carbon content,Microbial carbon => Microbial abundance (biomass carbon)
Microbial diversity (Shannon’s diversity index or richness scores),Microbial diversity
soil microbial diversity,Microbial diversity
Microbial diversity (Shannon’s diversity index),Microbial diversity
Other microbial indicators (O-Microbial),Microbial indicators
Microbial nitrogen concentration,Microbial nitrogen => Microbial abundance (biomass nitrogen)
Soil microbial biomass nitrogen,Microbial nitrogen => Microbial abundance (biomass nitrogen)
Microbial biomass nitrogen,Microbial nitrogen => Microbial abundance (biomass nitrogen)
Microbial nitrogen biomass,Microbial nitrogen => Microbial abundance (biomass nitrogen)
Microbial N,Microbial nitrogen => Microbial abundance (biomass nitrogen)
Microbial biomass nitrogen (0-10 cm depht),Microbial nitrogen => Microbial abundance (biomass nitrogen)
Soil microbial nitrogen,Microbial nitrogen => Microbial abundance (biomass nitrogen)
Microbial Phosphorous (Pmic),Microbial phosphorous => Microbial abundance (biomass phosphorus)
Microbial P,Microbial phosphorous => Microbial abundance (biomass phosphorus)
Microbial quotient,Microbial quotient
Species richness - microbe,Microbial species richness
Microbial richness,Microbial species richness
soil microbial structure,Microbial structure
Nematode channel ratio,Nematode channel ratio
Total nematode abundance,Nematodes abundance
Abundance of omnivore-predators,Nematodes abundance
Abundance of plant feeders,Nematodes abundance
Enrichment index,Nematodes abundance
Maturity index,Nematodes abundance
Total density of nematodes,Nematodes density
omnivore-predator nematode,Omnivore-predator nematode abundance
Abundance of omnivore-predators,omnivore-predators abundance
Abundance of omnivore-predators,Omnivore-predator nematode abundance
Peroxidase,Peroxidase activity
phosphatase activity,Phosphatase activity
Phosphatase,Phosphatase activity
ACP and ALP (phosphatase) activities,Phosphatase activity
Biological nitrogen fixation (BNF),Biological N fixation
Abundance of plant feeders,Plant feeders abundance
plant-feeding nematodes,Plant feeding nematodes abundance
Plant parasite index,Plant parasite index
Plant parasite index,plant parasite index
plant-feeding nematodes,Plant-feeding nematodes
Fungi/bacteria ratio,Fungi/bacteria ratio
Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of ratio fungi/bacteria,Fungi/bacteria ratio
Phospholipid fatty acids (PLFA) concentrations (indicator of microbial biomass) of ratio of gram+ to gram- bacteria,Ratio of gram+ to gram- bacteria
Rhabditidae,Rhabditidae abundance
Soil fertility,Soil fertility
"Soil microbial quotient (MB-C/TSOC, total soil organic carbon)",Ratio microbial carbon to soil carbon
Shannon diversity index,Species diversity
Shannon's diversity,Species diversity
Structure index,Structure index
Taxonomy richness,Taxonomy richness
Soil urease activity,Soil urease activity
Urease,Soil urease activity
β-glucosidase (BG),β-glucosidase activity
Soil total N,Soil total N
Soil water holding capacity,water holding capacity
Arbuscular mycorrhizas (AM) fungal abundance,Arbuscolar mycorrhizal fungi => Arbuscolar mycorrhizal fungi abundance
Root colonization by mycorrhizal fungi,Arbuscolar mycorrhizal fungi => Arbuscolar mycorrhizal fungi colonization
1) Microbial biomass carbon (0-10 cm depht); 2) microbial biomass nitrogen (0-10 cm depht),Microbial biomass
1) Soil nitrogen (N); 2) soil phosphorus (P),1) Soil N (N); 2) soil P (P)
1) Soil nitrogen pool (SNP); 2) litter nitrogen pool (LNP),1) Soil N pool (SNP); 2) litter N pool (LNP)
1) Soil total N; 2) soil total P,1) Soil total N; 2) soil total P
1) Soil total nitrogen content; 2) soil total phosphorus,1) Soil total N content; 2) soil total P
"1) Total nitrogen (TN) (0-10 cm, 10-30 cm); 2) phosphorous (P) (0-10 cm, 10-30 cm); 3) potasium (K) (0-10 cm, 10-30 cm)","1) Total N (TN) (0-10 cm, 10-30 cm); 2) P (P) (0-10 cm, 10-30 cm); 3) potasium (K) (0-10 cm, 10-30 cm)"
Cation exchange capacity (CEC) (0-10 cm depht),Cation exchange capacity 0-10 cm
water infiltration,water infiltration
Soil moisture,moisture
Water content (WC) (0-10 cm depht),Water content (WC) (0-10 cm depht)
1) Soil loss; 2) Run-off,1) Soil loss; 2) Run-off
1) Soil loss; 2) Run-off coefficient,1) Soil loss; 2) Run-off coefficient
Pollinator abundance in field edges adjacent to crops,pollinators abundance (within the crop) => Pollinators abundance (at the edge)
Pollinator abundance and richness in the field-edge flower plantings; Pollinator abundance and richness in the crops,Pollinators abundance and richness (at the edge)
% of sediment removal,Soil loss => Sediments retention
% of sediment removal,Soil runoff => Sediments retention
Annual runoff,Annual run-off => Soil run-off
Annual runoff,Annual run-off
Annual runoff,Annual soil run-off => Soil run-off
Annual soil loss,Annual soil loss => Soil loss
Annual soil loss,Annual soil loss
Annual soil loss and runoff,Annual soil loss and run-off
Efficacy sediment mass retention,Efficacy sediment mass retention
Erosion-related parameters: Water retention; Topsoil penetration resistance; Aggregate stability; Saturated hydraulic conductivity,Soil erosion parameters
Run off reduction,Run-off reduction
runoff,Run-off
"Runoff coefficient, sediment concentration in runoff","Run-off coefficient, sediment concentration in runoff"
Runoff quantity,Run-off quantity
Run off reduction,Soil run-off => Run-off reduction
runoff,Run-off => Soil run-off
Run-off; sediment retention,Run-off; sediment retention
Run-off; sediments,Run-off; sediments
Run-off; soil erosion,Run-off; soil erosion
Run-off; soil loss,Run-off; soil loss
runoff,Soil run-off
Sediment formation,Sediment formation
"Soil nutrients (e.g., total N, total K, total P, available P, available K, NH4, and organic matter)","Soil nutrients (e.g., total N, total K, total P, available P, available K, NH4, and organic matter)"
"Soil total nitrogen, phosphorus, and potassium concentrations","Soil total N, P, and K concentrations"
Run-off,Run-off => Soil run-off
"Sediment generation, water runoff, water infiltration","Sediment generation, water runoff, water infiltration"
Run-off,Soil run-off
Sediment production; run-off,Sediment production; run-off
Sediment regulation,Sediment regulation
Soil water recharge,water recharge
Run-off coefficient,Run-off coefficient
soil erosion,Soil erosion
Run-off coefficient,Soil run-off => Run-off coefficient
Runoff coefficient (fraction of rainfall that becomes runoff),Water run-off
Runoff quantity,Run-off quantity => Soil run-off
Runoff quantity,Soil run-off
Run-off reduction,Run-off reduction
1) Efficacy N mass retention; 2) efficacy P mass retention,1) Efficacy N mass retention; 2) efficacy P mass retention
Soil erosion rates,Soil erosion rates
1) Nitrogen removal efficiency; 2) Total phosforous removal efficiency,1) Nitrogen removal efficiency; 2) Total phosforous removal efficiency
"soil erosion rates (erosion, runoff)","soil erosion rates (erosion, runoff)"
"Soil erosion, run-off","Soil erosion, run-off"
soil runoff/soil loss,Soil loss
Run-off reduction,Soil run-off => Run-off reduction
Sediment concentration in runoff,Sediment concentration in run-off
Sediment generation,Sediment generation
Sediment generation,Sediment production
soil loss,Soil loss
Sediment production,Sediment production
Sediment retention,Sediment retention
Sediments,Sediment production
Sediments,Sediments => Sediments production
1) Outflow load of Total nitrogen (TN); 2) Outflow load of total phosphorus (TP),1) Outflow load of Total nitrogen (TN); 2) Outflow load of total phosphorus (TP)
Efficacy pesticide mass retention,Efficacy pesticide mass retention
Soil erosion,Soil erosion
Soil erosion control and soil conservation,Soil erosion control and soil conservation
Soil loss; run-off,Soil loss; run-off
Soil losses,Soil losses
soil erosion,Soil runoff
soil runoff,Soil runoff
Soil loss reduction,Soil loss => Soil loss reduction
N removal,N removal
soil runoff,soil runoff
Nutrients mitigation power,Nutrients mitigation power
Soil losses,Soil loss
Soil sediment interception,Sediment retention => Soil sediment interception
soil runoff/soil loss,soil runoff/soil loss
Soil sediment interception,Soil sediment interception
Extractable Ca,Extractable Ca
Extractable K,Extractable K
Extractable Mg,Extractable Mg
Extractable P,Extractable P
nitrogen in soil macroaggragates (> 0.25 mm),N in soil macroaggragates (> 0.25 mm)
soil fertility/nutrient cycling parameters,soil fertility/nutrient cycling parameters
soil phosphorous,Soil total P
soil total nitrogen,Soil total N
Total N,Soil total N
"Abiotic nutrients (Al, B, Cr, Fe, Mg, P, Pb, S, Se, Zn)","Abiotic nutrients (Al, B, Cr, Fe, Mg, P, Pb, S, Se, Zn)"
Biological nitrogen fixation (BNF),Biological nitrogen fixation
"Dinitrogen (N2) fixation mesured at the plant level (%Ndfa ) and considering the area (Ndfa, kg/ha)",Biological nitrogen fixation
Dinitrogen (N2) fixation and Soil-derived N acquisition,DiN (N2) fixation and Soil-derived N acquisition
Olsen phosphorus,Extractable phosphorus
Litter nitrogen pool,Litter total nitrogen
Microbial N immobilization,Microbial nitrogen immobilization
Mineralisation of native soil N,Mineralisation of native soil nitrogen
Potentially mineralizable nitrogen (PMN),Potentially mineralizable nitrogen
Soil fertilizer-derived N content,Soil fertilizer-derived nitrogen content
"Soil nutrients (e.g., total nitrogen (N), total potassium (K), total phosphorus (P), available P, available K, ammonium, and organic matter)","Soil nutrients (e.g., total N (N), total K (K), total P (P), available P, available K, ammonium, and organic matter)"
Soil organic nitrogen,Soil organic nitrogen
Soil TN concentration,Soil total N concentration => Soil total nitrogen
N stock,Soil total nitrogen
Soil N,Soil total nitrogen
Soil N stock,Soil total nitrogen
Soil nitrogen,Soil total nitrogen
Soil nitrogen content,Soil total nitrogen
Soil nitrogen pool,Soil total nitrogen
Soil TK concentration,Soil total nitrogen
Soil total N,Soil total nitrogen
Soil total N stock,Soil total nitrogen
soil total nitrogen,Soil total nitrogen
"soil total nitrogen, soil phosphrous","soil total N, soil phosphrous"
"Total N, Extractable P, Extractable K, Extractable Mg, Extractable Ca","Total N, Extractable P, Extractable K, Extractable Mg, Extractable Ca"
Pesticide mitigation power,Pesticide mitigation power
Reduction of acute ecotoxicity,Reduction of acute ecotoxicity
"Run-off of sediment, nutrient or faecal bacteria","Run-off of sediment, nutrient or faecal bacteria"
Total nitrogen (TN),Total nitrogen (TN)
Soil total nitrogen content,Soil total nitrogen
Soil total potassium 0-15 cm,Soil total nitrogen
Soil total potassium 15-40 cm,Soil total nitrogen
Total nitrogen,Soil total nitrogen
"Biocontrol (i.e., pest herbivore abundance, pest predator abundance and plant damage)",natural enemies parameters
"Disease incidence (was calculated at the replicate level as the number of infected leaves in the plot divided by the number of surveyed leaves in the plot, and then averaged over replicates; presence of wilting symptoms on the plant was recorded)",Disease incidence
1) Land Equivalent Ratio for P uptake (LERP); 2) Net effect on P uptake (NEP),nitrogen equivalent ratio
1) Nitrogen fertilizer equivalent ratio; 2) Phosphorous fertilizer equivalent ratio,nitrogen equivalent ratio
Total nitrogen concentration,Soil total nitrogen
Total nitrogen in soil,Soil total nitrogen
Total soil nitrogen,Soil total nitrogen
Total soil nitrogen (TN),Soil total nitrogen
TN (0-10 cm depth),Soil total nitrogen 0-10 cm
Soil total nitrogen 0-15 cm,Soil total nitrogen 0-15 cm
Soil total nitrogen 0-30 cm,Soil total nitrogen 0-30 cm
Soil total nitrogen 0-60,Soil total nitrogen 0-60 cm
TN (10-30 cm depth),Soil total nitrogen 10-30 cm
Soil total nitrogen 15-40 cm,Soil total nitrogen 15-40 cm
Soil P,Soil total phosphorus
soil phosphorous,Soil total phosphorus
Soil total P,Soil total phosphorus
Soil slope erosion,Soil slope erosion
Total nitrogen concentration,Soil total N concentration
Soil total phosphorous,Soil total phosphorus
Soil total phosphorus,Soil total phosphorus
Soil TP concentration,Soil total phosphorus
Total soil nitrogen,Soil total N
Infiltration rate,water infiltration rate
Total phosphorus,Soil total phosphorus
Total soil P content,Soil total phosphorus
P (0-10 cm depth),Soil total phosphorus 0-10 cm
Soil total phosphorus 0-15 cm,Soil total phosphorus 0-15 cm
P (10-30 cm depth),Soil total phosphorus 10-30 cm
1) Soil available water (top 30 cm soil depth); 2) Soil available water (deep soil layer),1) available water (top 30 cm depth); 2) available water (deep layer)
soil moisture content,moisture content
Soil total phosphorus 15-40 cm,Soil total phosphorus 15-40 cm
Soil K,Soil total potassium
Soil potassium,Soil total potassium
Soil total K,Soil total potassium
Soil total potassium,Soil total potassium
Total potassium,Soil total potassium
K (0-10 cm depth),Soil total potassium 0-10 cm
1) Colony forming unit (CFU); 2) Microbial biomass carbon (MBC); 3) Microbial biomass nitrogen; 4) Extracellular enzyme activity for carbon acquisition; 5) Extracellular enzyme activity for nitrogen acquisition; 6) Extracellular enzyme activity for potassium acquisition; 7) Soil microbial alpha-diversity; 8) Soil microbial betha diversity; 9) Soil microbial structure,Microbial biomass
1) Soil microbial biomass carbon (MBC); 2) Extracellular enzyme activity (EEA),Microbial biomass
Surface run-off,Soil run-off => Surface run-off
Salinity,Salinity
"Stock of Nitrogen, Phosphorous and Sulfur in soil (kg m-2)","Stock of N, P and Sulfur in soil"
"Stock of Nitrogen, Phosphorous and Sulfur in soil (kg m-2)","Stock of N, P and Sulfur in soil (kg m-2)"
infiltration rates,water infiltration rate
initial infiltration rate,water infiltration rate
Soil bulk density,bulk density
soil macroaggregates,macroaggregates
steady-state infiltration rate,water infiltration rate
water infiltration capacity,water infiltration
water infiltration rate,water infiltration rate
water infiltration rates,water infiltration rate
Bulk density,Soil bulk density
Capillary porosity,Capillary porosity
CEC (0-10 cm depht),Cation exchange capacity 0-10 cm
Geometric mean diameter of soil aggregates,Geometric mean diameter of aggregates
Geometric mean diameter of soil aggregates,Geometric mean diameter of soil aggregates
Soil water infiltration,Soil water infiltration
water infiltration,Soil water infiltration
Mean weight diameter,Mean weight diameter of soil aggregates
mean weight diameter of aggregates,Mean weight diameter of soil aggregates
Mean weight diameter of soil aggregates,Mean weight diameter of soil aggregates
Penetration resistance,Soil penetration resistance
saturated hydraulic conductivity,Saturated hydraulic conductivity
Soil aggregation,Soil aggregation
Soil bulk density,Soil bulk density
Soil cation exchange capacity (CEC),Soil cation exchange capacity
Soil exchangeable sodium percentage,Soil exchangeable sodium
Soil penetration resistance,Soil penetration resistance
1) Precipitation storage efficiency (PSE); 2) Soil water storage at wheat planting (SWSp),1) Precipitation storage efficiency (PSE); 2) water storage at wheat planting (SWSp)
1) Soil water retention (before sowing); 2) Soil water retention (harvest),1) water retention (before sowing); 2) water retention (harvest)
Soil pH,Soil pH
soil porosity,Soil porosity
Soil structural stability,Soil structural stability
Infiltration rate,Soil water infiltration rate
Water content,Water content
1) Blue water availability (VWA); 2) Global stress-weighted water footprint per unit of output energy (WFo); 3) Global stress-weighted water footprint per unit of net economic return (WFe),1) Blue water availability (VWA); 2) Global stress-weighted water footprint per unit of output energy (WFo); 3) Global stress-weighted water footprint per unit of net economic return (WFe)
1) Water consumption; 2) Water use efficiency (WUE),water use efficiency
Subsoil bulk density change (%),Subsoil bulk density change
Topsoil bulk density change (%),Topsoil bulk density change
Water Use efficiency;,water use efficiency
Total porosity,Total porosity
Infiltration rate in soils,Soil water infiltration rate
Soil water infiltration rate,Soil water infiltration rate
steady-state infiltration rate,Soil water infiltration rate
Water-stable aggregate,Water-stable soil aggregates
Water use efficiency (WUE),water use efficiency
"Water use efficiency (WUE, the biomass or grain yield per unit of water used by crops)",water use efficiency
Soil cation exchange capacity,cation exchange capacity
"Soil aggregation (percentage of water-stable aggregates (WSA), mean weight diameter (MWD) or gravimetric mean diameter (GMD) by different sieving methods)","aggregation (percentage of water-stable aggregates (WSA), mean weight diameter (MWD) or gravimetric mean diameter (GMD) by different sieving methods)"
Soil total porosity,porosity
Total soil porosity,porosity
Soil aggregate stability,aggregate stability
Soil pH,pH
Soil available nutrients,available nutrients
Soil Ca ion,Ca ion
Soil Na ion,Na ion
Soil Mg ion,Mg ion
Soil K ion,K ion
Available water capacity,Available water capacity => Available water holding capacity
available water content (AWC),Soil available water
Available water holding capacity (AWC),Available water holding capacity
field capacity (FC),Water retained at field capacity
field capacity water content,Water retained at field capacity
permanent wilting point (PWP),Permanent wilting point
Plant available water content (AW),Available water content => Soil available water
Precipitation soil-storage efficiency during the fallow period,Precipitation storage efficiency
Precipitation storage efficiency (PSE),Precipitation storage efficiency
Soil available water,Soil available water
soil available water (100-250 cm depth),Soil available water 100 - 250 cm
soil available water (30 - 90 cm depth),Soil available water 30 - 90 cm
Soil available water (deep soil layer),Soil available water (deep soil layer)
Soil available water (top 30 cm soil depth),Soil available water 0 - 30 cm
Soil moisture,water content => Soil water content
soil moisture content,water content => Soil water content
Soil saturated hydraulic,Soil saturated hydraulic
"Soil water budget parameters (Water stress integral, water loss, volumetric soil water content)","Soil water budget parameters (Water stress integral, water loss, volumetric water content)"
Soil water content,water content => Soil water content
"Soil microbial biomass C (Cmic) and nitrogen (Nmic), and the microbial quotient (qMIC, Cmic-to-organic C ratio)",Microbial biomass
Surface run-off,Surface run-off
Water runoff,Water run-off
Water runoff,Soil water retention (before sowing)
Water runoff,Soil water retention (harvest)
soil water content (SWC),water content => Soil water content
N stock,Soil total N
Soil water content retained at field capacity (FC),Water retained at field capacity
Soil water content retained at field capacity (FC) (fine textured soils),Water retained at field capacity (fine textured soils)
"Soil water content: measured in spring, when the cover crop was suppressed or anytime thereafter, but before the food crop was planted",water content => Soil water content
Soil water holding capacity,Soil water holding capacity
Soil N stock,Soil total N
Soil nutrients,Soil nutrients
Soil water recharge,water recharge => Soil water rechange
Soil water retention (before sowing),Soil water retention (before sowing)
Soil water retention (before sowing),Soil water retention (harvest)
Soil water retention (harvest),Soil water retention (harvest)
Soil water storage at succeeding crop planting for the 30 cm topsoil,Soil water content 0 - 30 cm
Soil water storage at succeeding crop planting for the whole soil profile,Soil water storage (whole profile)
Soil water storage at succeeding crop planting for the whole soil profile,water content => Soil water content
Aggregate size and stability,Aggregate size and stability
Infiltration rate in soils,water infiltration rate
Soil physical quality,physical quality
Available water capacity,Available water capacity
field capacity water content,field capacity water content
Soil water storage at wheat planting,Soil water retention (at sowing)
Soil water storage at wheat planting,water retention (before sowing) => Soil water content (before sowing)
Water content,water content => Soil water content
Water drainage,Water drainage => Soil water drainage
Water retained at field capacity,Water retained at field capacity
WC (0-10 cm depht),Soil water content 0 -10 cm
Wilting point,Wilting point
Wilting point (fine textured soils),Wilting point (fine textured soils)
Blue water availability (VWA),Blue water availability (VWA)
Global stress-weighted water footprint per unit of net economic return (WFe),Global stress-weighted water footprint per unit of net economic return (WFe)
Global stress-weighted water footprint per unit of output energy (WFo),Global stress-weighted water footprint per unit of output energy (WFo)
"The gray water footprint (GWF, defined as the volume of freshwater required to assimilate the pollutant load in terms of the natural background concentration and existing ambient water quality standards). GWFp in this study refers to the N load introduced by both leaching and runoff to produce one unit product, and was define as the sum of per product leaching gray water footprint (GWFp_L) and per product runoff gray water footprint (GWFp_R).","The gray water footprint (GWF, defined as the volume of freshwater required to assimilate the pollutant load in terms of the natural background concentration and existing ambient water quality standards). GWFp in this study refers to the N load introduced by both leaching and runoff to produce one unit product, and was define as the sum of per product leaching gray water footprint (GWFp_L) and per product runoff gray water footprint (GWFp_R)."
Efficacy N mass retention,Efficacy N mass retention
Efficacy P mass retention,Efficacy P mass retention
Total nitrogen (TN),N removal
Nitrogen removal efficiency,N removal
Total phosforous removal efficiency,P removal
Total phosphorus (TP),P removal
"Biotic abundance, biotic richness of functional groups (Pollinators)",Pollinators abundance and richness
Water purification,Water purification
Nitrate removal efficiency from drainage water,Nitrate removal efficiency from drainage water
Phosphorus removal efficiency from drainage water,Phosphorus removal efficiency from drainage water
Crop water productivity,Crop water productivity => Water use efficiency
Irrigated water productivity,irrigation water productivity => Water use efficiency (irrigation)
Irrigation water productivity,irrigation water productivity => Water use efficiency (irrigation)
"Irrigation water productivity (IWP, yield per unit applied irrigation water)",irrigation water productivity => Water use efficiency (irrigation)
"Irrigation water productivity (IWP, yield/irrigation water applied)",irrigation water productivity => Water use efficiency (irrigation)
Leaf water use efficiency,leaf water use efficiency => Water use efficiency (leaf)
Water consumption,Water consumption
Waper productivity,water productivity => Water use efficiency
Water productivity,water productivity => Water use efficiency
Microbial N immobilization,Microbial N immobilization
Water productivity (WP),water productivity => Water use efficiency
Mineralisation of native soil N,Mineralisation of native soil N
"Water productivity (WP, yield/crop evapotranspiration or yield/total water applied by irrigation and rainfall)",water productivity => Water use efficiency
Water inputs,Water supply
Olsen phosphorus,Extractable P
Water supply,Water supply
Irrigation water amount,Water supply (irrigation)
Water use,Water supply => Water consumption
water use (mm /ha),Water supply => Water consumption
Plant water use efficiency,Water use efficiency
crop yield,Crop yield
Disease incidence (in probability scale),Disease incidence
water use efficiency,Water use efficiency
"Weed abundance (biomass, cover, density, frequency, survival or percent control)",weed abundance
Water use efficiency (WUE),Water use efficiency
"Water use efficiency (WUE, the biomass or grain yield per unit of water used by crops)",Water use efficiency
WUE,Water use efficiency
